Inventory_ID,Date,Business_Type,Food_Category,Purchase_Quantity,Units_Sold,Remaining_Stock,Shelf_Life_Days,Storage_Temperature,Daily_Demand,Promotion,Weather,Waste_Quantity,Waste_Reason,Donation_Made,Waste_Level
INV000020,2025-01-02,Restaurant,Meat,80,68,12,2.0,0.5,68.0,No,Rainy,3,Expired,No,Medium
INV000021,2025-01-02,Cloud Kitchen,Dairy,117,100,17,4.0,3.0,100.0,No,Hot,1,Low Demand,No,Low
INV000022,2025-01-02,Cloud Kitchen,Bakery,134,112,22,4.0,23.7,112.0,No,Hot,3,Overproduction,Yes,Medium
INV000023,2025-01-02,Cloud Kitchen,Prepared Food,100,78,22,2.0,18.3,78.0,No,Cloudy,4,Expired,No,Medium
INV000024,2025-01-02,Restaurant,Prepared Food,98,98,0,1.0,17.5,101.0,No,Hot,0,No Waste,No,Low
INV000025,2025-01-02,Cafeteria,Vegetables,186,60,126,7.0,8.2,60.0,No,Sunny,40,Overproduction,No,High
INV000026,2025-01-02,Cafeteria,Prepared Food,99,99,0,2.0,17.7,100.0,Yes,Sunny,0,No Waste,No,Low
INV000027,2025-01-02,Supermarket,Fruits,259,159,100,4.0,13.0,159.0,Yes,Rainy,29,Overproduction,Yes,High
INV000028,2025-01-02,Supermarket,Bakery,176,176,0,3.0,20.8,,No,Sunny,0,No Waste,No,Low
INV000029,2025-01-02,Restaurant,Fruits,67,58,9,,8.8,58.0,No,Rainy,1,Low Demand,No,Low
INV000030,2025-01-02,Restaurant,Prepared Food,89,58,31,2.0,26.9,58.0,No,Rainy,14,Storage Issue,No,High
INV000031,2025-01-02,Supermarket,Prepared Food,159,137,22,1.0,13.9,137.0,No,,6,Expired,No,Medium
INV000032,2025-01-02,Supermarket,Fruits,136,136,0,6.0,7.1,146.0,No,Sunny,0,No Waste,No,Low
INV000033,2025-01-02,Cloud Kitchen,Prepared Food,121,106,15,2.0,17.6,106.0,No,Cloudy,3,Expired,No,Medium
INV000034,2025-01-02,Supermarket,Dairy,172,149,23,6.0,3.8,149.0,Yes,Rainy,3,Low Demand,No,Low
INV000035,2025-01-02,Cafeteria,Bakery,58,58,0,2.0,23.0,76.0,No,Sunny,0,No Waste,No,Low
INV000036,2025-01-02,Cafeteria,Prepared Food,72,55,17,2.0,15.2,55.0,No,Cloudy,5,Low Demand,No,Medium
INV000037,2025-01-02,Supermarket,Fruits,173,163,10,4.0,10.9,163.0,No,,2,Expired,No,Low
INV000038,2025-01-02,Cafeteria,Dairy,56,56,0,3.0,1.8,57.0,No,Cloudy,0,No Waste,No,Low
INV000039,2025-01-02,Cloud Kitchen,Prepared Food,115,94,21,1.0,21.1,94.0,Yes,Rainy,7,Expired,No,Medium
INV000040,2025-01-02,Supermarket,Prepared Food,189,132,57,1.0,28.7,132.0,No,Sunny,29,Storage Issue,Yes,High
INV000041,2025-01-02,Cafeteria,Fruits,64,54,10,7.0,6.0,54.0,No,Cloudy,1,Low Demand,No,Low
INV000042,2025-01-02,Restaurant,Fruits,86,86,0,5.0,7.6,100.0,No,Hot,0,No Waste,No,Low
INV000043,2025-01-02,Restaurant,Vegetables,79,69,10,7.0,10.0,69.0,Yes,Rainy,2,Low Demand,No,Medium
INV000044,2025-01-02,Restaurant,Vegetables,105,59,46,8.0,9.4,59.0,No,Cloudy,13,Overproduction,Yes,High
INV000045,2025-01-02,Supermarket,Prepared Food,214,115,99,2.0,24.8,115.0,No,Cloudy,45,Overproduction,Yes,High
INV000046,2025-01-02,Supermarket,Prepared Food,153,149,4,1.0,14.9,149.0,No,Cloudy,1,Expired,No,Low
INV000047,2025-01-02,Supermarket,Dairy,164,116,48,9.0,3.6,116.0,No,Rainy,10,Overproduction,No,Medium
INV000048,2025-01-03,Supermarket,Vegetables,207,116,91,8.0,5.0,116.0,No,Cloudy,19,Overproduction,Yes,High
INV000049,2025-01-03,Restaurant,Fruits,105,100,5,4.0,5.2,100.0,No,Sunny,1,Expired,No,Low
INV000050,2025-01-03,Restaurant,Prepared Food,78,78,0,2.0,23.2,92.0,No,Cloudy,0,No Waste,No,Low
INV000051,2025-01-03,Cafeteria,Bakery,75,55,20,6.0,19.6,55.0,Yes,Cloudy,3,Low Demand,No,Medium
INV000052,2025-01-03,Restaurant,Meat,73,73,0,3.0,2.0,114.0,No,Hot,0,No Waste,No,Low
INV000053,2025-01-03,Cloud Kitchen,Dairy,78,78,0,7.0,2.1,114.0,No,Sunny,0,No Waste,No,Low
INV000054,2025-01-03,Cafeteria,Prepared Food,63,63,0,2.0,25.9,65.0,No,Hot,0,No Waste,No,Low
INV000055,2025-01-03,Supermarket,Meat,185,106,79,6.0,1.7,106.0,No,Rainy,18,Overproduction,No,High
INV000056,2025-01-03,Cloud Kitchen,Vegetables,109,109,0,7.0,5.0,110.0,No,Cloudy,0,No Waste,No,Low
INV000057,2025-01-03,Cloud Kitchen,Fruits,93,93,0,6.0,14.2,,No,Hot,0,No Waste,No,Low
INV000058,2025-01-03,Cloud Kitchen,Meat,132,108,24,8.0,,108.0,Yes,Rainy,3,Low Demand,No,Medium
INV000059,2025-01-03,Supermarket,Dairy,243,243,0,9.0,4.0,252.0,Yes,Sunny,0,No Waste,No,Low
INV000060,2025-01-03,Restaurant,Dairy,98,91,7,5.0,6.0,91.0,No,Hot,1,Low Demand,No,Low
INV000061,2025-01-03,Restaurant,Prepared Food,93,59,34,2.0,20.1,59.0,No,Rainy,11,Overproduction,Yes,High
INV000062,2025-01-03,Supermarket,Prepared Food,105,105,0,1.0,20.3,173.0,No,Sunny,0,No Waste,No,Low
INV000063,2025-01-03,Restaurant,Prepared Food,54,54,0,1.0,17.0,75.0,No,Cloudy,0,No Waste,No,Low
INV000064,2025-01-03,Supermarket,Meat,171,157,14,3.0,0.0,157.0,No,Sunny,2,Expired,No,Low
INV000065,2025-01-03,Supermarket,Meat,203,112,91,4.0,3.8,112.0,No,Rainy,28,Overproduction,Yes,High
INV000066,2025-01-03,Cafeteria,Bakery,60,60,0,,25.3,71.0,No,Cloudy,0,No Waste,No,Low
INV000067,2025-01-03,Cafeteria,Vegetables,63,63,0,7.0,5.7,76.0,No,Sunny,0,No Waste,No,Low
INV000068,2025-01-03,Supermarket,Bakery,179,104,75,2.0,25.7,104.0,No,Rainy,33,Overproduction,Yes,High
INV000069,2025-01-03,Cloud Kitchen,Bakery,127,72,55,4.0,21.1,72.0,No,Rainy,12,Overproduction,No,High
INV000070,2025-01-03,Supermarket,Fruits,235,196,39,4.0,10.5,196.0,No,Hot,9,Expired,No,Medium
INV000071,2025-01-03,Cloud Kitchen,Dairy,106,106,0,3.0,2.5,124.0,No,Hot,0,No Waste,No,Low
INV000072,2025-01-04,Supermarket,Fruits,163,163,0,5.0,10.7,209.0,Yes,Hot,0,No Waste,No,Low
INV000073,2025-01-04,Restaurant,Vegetables,95,95,0,5.0,4.3,101.0,No,Sunny,0,No Waste,No,Low
INV000074,2025-01-04,Cloud Kitchen,Bakery,90,67,23,3.0,16.8,67.0,No,,4,Expired,No,Medium
INV000075,2025-01-04,Restaurant,Fruits,82,82,0,8.0,3.5,85.0,No,Sunny,0,No Waste,,Low
INV000076,2025-01-04,Restaurant,Meat,97,69,28,3.0,5.8,69.0,No,Cloudy,6,Storage Issue,No,Medium
INV000077,2025-01-04,Cafeteria,Dairy,93,93,0,4.0,1.3,94.0,Yes,Cloudy,0,No Waste,No,Low
INV000078,2025-01-04,Supermarket,Vegetables,127,127,0,8.0,4.1,139.0,No,Sunny,0,No Waste,No,Low
INV000079,2025-01-04,Supermarket,Prepared Food,201,201,0,1.0,19.6,209.0,No,Hot,0,No Waste,No,Low
INV000080,2025-01-04,Cloud Kitchen,Meat,128,92,36,3.0,5.5,92.0,No,Hot,10,Expired,No,Medium
INV000081,2025-01-04,Cloud Kitchen,Prepared Food,125,95,30,2.0,20.8,95.0,No,Sunny,9,Expired,No,Medium
INV000082,2025-01-04,Supermarket,Bakery,147,147,0,2.0,25.3,152.0,No,Sunny,0,No Waste,No,Low
INV000083,2025-01-04,Restaurant,Fruits,82,52,30,4.0,7.1,52.0,No,Rainy,6,Overproduction,No,Medium
INV000084,2025-01-04,Cloud Kitchen,Prepared Food,106,106,0,2.0,,113.0,Yes,,0,No Waste,No,Low
INV000085,2025-01-04,Supermarket,Fruits,172,161,11,7.0,14.7,161.0,No,Cloudy,1,Storage Issue,No,Low
INV000086,2025-01-04,Supermarket,Dairy,169,169,0,9.0,0.4,184.0,No,Sunny,0,No Waste,No,Low
INV000087,2025-01-05,Cafeteria,Prepared Food,78,63,15,2.0,24.3,63.0,No,Hot,4,Low Demand,No,Medium
INV000088,2025-01-05,Cafeteria,Fruits,56,56,0,5.0,8.6,60.0,No,Sunny,0,No Waste,No,Low
INV000089,2025-01-05,Cafeteria,Bakery,59,59,0,4.0,24.3,67.0,No,Hot,0,No Waste,No,Low
INV000090,2025-01-05,Restaurant,Fruits,94,70,24,,8.9,,No,Cloudy,4,Low Demand,No,Medium
INV000091,2025-01-05,Cloud Kitchen,Fruits,131,93,38,4.0,9.2,93.0,No,Sunny,9,Low Demand,Yes,Medium
INV000092,2025-01-05,Restaurant,Prepared Food,70,66,4,1.0,22.2,66.0,No,Cloudy,1,Expired,No,Low
INV000093,2025-01-05,Cafeteria,Prepared Food,62,60,2,1.0,17.6,60.0,No,Hot,1,Expired,No,Medium
INV000094,2025-01-05,Cafeteria,Vegetables,79,55,24,8.0,4.2,,No,Hot,2,Low Demand,No,Medium
INV000095,2025-01-05,Restaurant,Meat,87,75,12,2.0,2.2,75.0,Yes,Rainy,3,Expired,No,Medium
INV000096,2025-01-05,Cloud Kitchen,Vegetables,107,77,30,6.0,6.5,77.0,No,Cloudy,7,Low Demand,No,Medium
INV000097,2025-01-05,Cloud Kitchen,Bakery,107,73,34,3.0,24.5,73.0,No,Rainy,8,Low Demand,Yes,Medium
INV000098,2025-01-05,Restaurant,Dairy,106,64,42,1.0,0.7,64.0,No,Cloudy,18,Overproduction,Yes,High
INV000099,2025-01-05,Supermarket,Fruits,161,148,13,5.0,9.4,148.0,No,,2,Expired,No,Low
INV000100,2025-01-05,Restaurant,Prepared Food,122,75,47,2.0,23.9,75.0,No,Sunny,18,Overproduction,No,High
INV000101,2025-01-05,Supermarket,Prepared Food,231,152,79,1.0,14.5,152.0,Yes,Cloudy,30,Expired,No,High
INV000102,2025-01-05,Cloud Kitchen,Meat,108,108,0,5.0,2.9,110.0,No,Sunny,0,No Waste,No,Low
INV000103,2025-01-05,Cloud Kitchen,Prepared Food,111,77,34,1.0,18.7,77.0,Yes,Rainy,14,Expired,No,Low
INV000104,2025-01-05,Cafeteria,Dairy,47,47,0,6.0,3.6,,No,Sunny,0,No Waste,No,Low
INV000105,2025-01-05,Restaurant,Fruits,86,86,0,6.0,11.0,87.0,No,Hot,0,No Waste,No,High
INV000106,2025-01-05,Restaurant,Dairy,70,70,0,9.0,0.9,110.0,Yes,Sunny,0,No Waste,No,Low
INV000107,2025-01-05,Cloud Kitchen,Vegetables,117,117,0,1.0,4.5,129.0,No,Hot,0,No Waste,No,Low
INV000108,2025-01-06,Supermarket,Meat,104,104,0,2.0,4.5,121.0,No,Rainy,0,No Waste,No,Low
INV000109,2025-01-06,Cafeteria,Prepared Food,64,48,16,2.0,16.8,48.0,No,Rainy,4,Low Demand,No,Medium
INV000110,2025-01-06,Supermarket,Prepared Food,135,135,0,2.0,14.4,174.0,No,Hot,0,No Waste,No,Medium
INV000111,2025-01-06,Cafeteria,Bakery,75,57,18,5.0,13.8,,No,Hot,3,Low Demand,No,Medium
INV000112,2025-01-06,Restaurant,Dairy,86,68,18,7.0,3.8,68.0,No,Sunny,1,Low Demand,No,Low
INV000113,2025-01-06,Supermarket,Dairy,151,131,20,11.0,6.2,131.0,No,,2,Storage Issue,No,Low
INV000114,2025-01-06,Cloud Kitchen,Bakery,176,138,38,3.0,22.7,138.0,Yes,Hot,6,Expired,No,Medium
INV000115,2025-01-06,Cloud Kitchen,Vegetables,97,97,0,6.0,8.4,133.0,No,Hot,0,No Waste,No,Low
INV000116,2025-01-06,Supermarket,Prepared Food,149,100,49,2.0,18.5,100.0,No,Cloudy,17,Overproduction,Yes,High
INV000117,2025-01-06,Restaurant,Prepared Food,107,82,25,1.0,20.6,82.0,No,Cloudy,8,Expired,No,High
INV000118,2025-01-06,Restaurant,Prepared Food,85,85,0,2.0,22.5,92.0,No,Hot,0,No Waste,No,Low
INV000119,2025-01-06,Cloud Kitchen,Fruits,122,65,57,4.0,11.8,,No,Rainy,19,Overproduction,Yes,High
INV000120,2025-01-06,Cloud Kitchen,Meat,88,88,0,2.0,1.5,110.0,No,Sunny,0,No Waste,No,Low
INV000121,2025-01-06,Cafeteria,Vegetables,67,66,1,9.0,10.5,66.0,No,Sunny,0,No Waste,No,Low
INV000122,2025-01-06,Cafeteria,Vegetables,67,65,2,9.0,6.7,65.0,Yes,Rainy,0,No Waste,No,Low
INV000123,2025-01-06,Cafeteria,Prepared Food,80,41,39,1.0,23.8,41.0,No,Cloudy,20,Overproduction,Yes,High
INV000124,2025-01-06,Restaurant,Vegetables,79,49,30,5.0,8.4,,No,Rainy,8,Overproduction,No,High
INV000125,2025-01-06,Supermarket,Vegetables,196,63,133,5.0,9.3,63.0,No,Rainy,43,Overproduction,Yes,High
INV000126,2025-01-06,Restaurant,Prepared Food,92,92,0,1.0,11.2,95.0,No,Hot,0,No Waste,No,High
INV000127,2025-01-06,Cloud Kitchen,Prepared Food,121,93,28,1.0,19.9,93.0,No,Sunny,10,Expired,No,Medium
INV000128,2025-01-06,Restaurant,Fruits,114,100,14,4.0,7.8,100.0,No,Sunny,2,Expired,No,Low
INV000129,2025-01-06,Cloud Kitchen,Meat,114,114,0,4.0,2.1,115.0,No,Sunny,0,No Waste,No,Low
INV000130,2025-01-06,Restaurant,Dairy,99,54,45,1.0,5.6,54.0,No,Rainy,21,Overproduction,Yes,High
INV000131,2025-01-07,Supermarket,Dairy,164,147,17,11.0,2.6,147.0,No,Hot,2,Expired,No,Low
INV000132,2025-01-07,Supermarket,Fruits,592,254,338,4.0,6.8,254.0,No,Sunny,98,Overproduction,Yes,High
INV000133,2025-01-07,Restaurant,Prepared Food,113,113,0,2.0,21.7,125.0,Yes,Sunny,0,No Waste,No,Low
INV000134,2025-01-07,Cloud Kitchen,Prepared Food,133,105,28,1.0,18.2,105.0,No,,9,Expired,No,Medium
INV000135,2025-01-07,Cafeteria,Prepared Food,60,45,15,2.0,15.5,45.0,No,Rainy,4,Low Demand,No,Medium
INV000136,2025-01-07,Restaurant,Dairy,121,77,44,12.0,4.6,77.0,No,Sunny,8,Overproduction,No,Medium
INV000137,2025-01-07,Restaurant,Meat,71,71,0,1.0,2.5,84.0,No,Cloudy,0,No Waste,No,Low
INV000138,2025-01-07,Cloud Kitchen,Vegetables,105,65,40,6.0,11.3,65.0,No,Rainy,12,Overproduction,Yes,High
INV000139,2025-01-07,Cafeteria,Dairy,76,76,0,12.0,5.7,90.0,Yes,Sunny,0,No Waste,,Low
INV000140,2025-01-07,Supermarket,Vegetables,217,153,64,6.0,9.1,153.0,No,Cloudy,16,Overproduction,Yes,Medium
INV000141,2025-01-07,Supermarket,Dairy,178,106,72,9.0,5.6,106.0,No,Rainy,12,Overproduction,Yes,Medium
INV000142,2025-01-07,Supermarket,Prepared Food,193,176,17,1.0,26.5,176.0,No,Cloudy,5,Expired,No,Medium
INV000143,2025-01-07,Supermarket,Meat,192,141,51,7.0,1.8,141.0,No,,3,Overproduction,No,Low
INV000144,2025-01-07,Restaurant,Fruits,103,82,21,5.0,6.0,82.0,No,Sunny,2,Low Demand,No,Low
INV000145,2025-01-07,Restaurant,Dairy,96,86,10,9.0,5.7,86.0,No,Sunny,1,Low Demand,No,Low
INV000146,2025-01-07,Cafeteria,Bakery,75,55,20,4.0,23.3,55.0,No,Cloudy,5,Low Demand,Yes,Medium
INV000147,2025-01-07,Restaurant,Bakery,101,64,37,4.0,26.2,64.0,No,Rainy,11,Overproduction,No,High
INV000148,2025-01-07,Supermarket,Bakery,206,204,2,3.0,18.6,204.0,Yes,Sunny,0,No Waste,No,Low
INV000149,2025-01-07,Supermarket,Prepared Food,155,127,28,2.0,21.8,127.0,No,Hot,7,Expired,No,High
INV000150,2025-01-08,Cloud Kitchen,Fruits,95,81,14,5.0,4.6,81.0,No,Sunny,2,Low Demand,No,Medium
INV000151,2025-01-08,Supermarket,Prepared Food,215,165,50,1.0,21.7,165.0,No,Sunny,19,Expired,No,High
INV000152,2025-01-08,Restaurant,Meat,85,81,4,5.0,5.3,81.0,No,Rainy,0,No Waste,No,Low
INV000153,2025-01-08,Cafeteria,Prepared Food,50,50,0,1.0,20.4,61.0,No,Cloudy,0,No Waste,No,Low
INV000154,2025-01-08,Restaurant,Dairy,59,57,2,11.0,5.3,57.0,No,Rainy,0,No Waste,No,Low
INV000155,2025-01-08,Supermarket,Fruits,160,134,26,1.0,6.9,134.0,No,Hot,8,Expired,No,Medium
INV000156,2025-01-08,Cafeteria,Vegetables,52,50,2,1.0,7.2,50.0,No,Sunny,1,Expired,No,Low
INV000157,2025-01-08,Cloud Kitchen,Prepared Food,122,87,35,1.0,25.2,87.0,No,Rainy,13,Expired,No,High
INV000158,2025-01-08,Supermarket,Bakery,137,127,10,5.0,19.6,127.0,No,Hot,1,Expired,No,Low
INV000159,2025-01-08,Cloud Kitchen,Bakery,94,94,0,2.0,17.7,108.0,No,Cloudy,0,No Waste,No,Low
INV000160,2025-01-08,Cloud Kitchen,Dairy,105,104,1,,2.9,104.0,No,Hot,0,No Waste,No,Low
INV000161,2025-01-08,Restaurant,Prepared Food,101,83,18,2.0,18.9,83.0,No,Cloudy,5,Expired,No,Medium
INV000162,2025-01-08,Supermarket,Vegetables,184,184,0,5.0,6.3,230.0,Yes,Hot,0,No Waste,No,Low
INV000163,2025-01-08,Cafeteria,Dairy,103,48,55,8.0,3.1,48.0,Yes,Rainy,13,Overproduction,Yes,Medium
INV000164,2025-01-08,Restaurant,Vegetables,95,78,17,8.0,8.4,78.0,No,Sunny,3,Storage Issue,No,Medium
INV000165,2025-01-08,Supermarket,Bakery,142,142,0,3.0,21.1,220.0,No,Sunny,0,No Waste,No,Low
INV000166,2025-01-08,Supermarket,Prepared Food,168,161,7,1.0,26.0,161.0,No,Cloudy,2,Expired,No,Low
INV000167,2025-01-08,Cloud Kitchen,Fruits,109,103,6,5.0,9.5,103.0,No,Cloudy,0,No Waste,No,Low
INV000168,2025-01-08,Cloud Kitchen,Dairy,127,115,12,1.0,7.8,115.0,No,Hot,4,Expired,,Medium
INV000169,2025-01-08,Cafeteria,Fruits,68,47,21,8.0,10.0,47.0,No,Rainy,3,Low Demand,No,Medium
INV000170,2025-01-08,Supermarket,Bakery,210,210,0,4.0,19.8,211.0,No,Hot,0,No Waste,No,Low
INV000171,2025-01-08,Restaurant,Dairy,72,72,0,,3.8,110.0,Yes,Hot,0,No Waste,No,Low
INV000172,2025-01-08,Restaurant,Bakery,105,97,8,2.0,25.1,97.0,No,Hot,2,Expired,No,Low
INV000173,2025-01-08,Cafeteria,Dairy,94,78,16,14.0,0.6,78.0,No,Sunny,2,Low Demand,No,Medium
INV000174,2025-01-08,Restaurant,Vegetables,91,66,25,8.0,3.9,66.0,No,Rainy,4,Low Demand,No,Medium
INV000175,2025-01-08,Restaurant,Dairy,100,67,33,9.0,1.9,67.0,No,Sunny,4,Overproduction,No,Medium
INV000176,2025-01-08,Cloud Kitchen,Prepared Food,121,103,18,2.0,15.3,103.0,No,Sunny,3,Expired,No,Medium
INV000177,2025-01-08,Cloud Kitchen,Dairy,121,107,14,,3.8,107.0,No,Sunny,2,Low Demand,No,Low
INV000178,2025-01-08,Supermarket,Bakery,136,122,14,1.0,30.1,122.0,No,Cloudy,7,Storage Issue,Yes,Medium
INV000179,2025-01-08,Restaurant,Fruits,60,60,0,4.0,5.0,77.0,No,Hot,0,No Waste,No,Low
INV000180,2025-01-09,Supermarket,Dairy,187,98,89,9.0,4.3,98.0,No,Rainy,13,Overproduction,Yes,Medium
INV000181,2025-01-09,Supermarket,Meat,135,135,0,10.0,1.7,154.0,No,Sunny,0,No Waste,,Low
INV000182,2025-01-09,Restaurant,Meat,77,71,6,2.0,1.1,71.0,No,Cloudy,1,Low Demand,No,Low
INV000183,2025-01-09,Supermarket,Bakery,158,140,18,1.0,26.8,140.0,No,Cloudy,7,Expired,No,Medium
INV000184,2025-01-09,Cafeteria,Prepared Food,49,44,5,1.0,33.6,44.0,No,Rainy,3,Storage Issue,No,Medium
INV000185,2025-01-09,Cafeteria,Fruits,65,65,0,5.0,14.9,66.0,Yes,Sunny,0,No Waste,No,Low
INV000186,2025-01-09,Restaurant,Dairy,91,75,16,6.0,6.5,75.0,No,Cloudy,2,Low Demand,No,Medium
INV000187,2025-01-09,Cafeteria,Prepared Food,51,34,17,2.0,17.0,34.0,No,Rainy,5,Low Demand,No,High
INV000188,2025-01-09,Supermarket,Prepared Food,230,134,96,2.0,20.9,134.0,Yes,Rainy,31,Overproduction,Yes,High
INV000189,2025-01-09,Supermarket,Fruits,159,159,0,4.0,9.1,170.0,No,Sunny,0,No Waste,No,Low
INV000190,2025-01-09,Cafeteria,Prepared Food,102,76,26,1.0,21.7,76.0,Yes,Cloudy,8,Expired,No,Medium
INV000191,2025-01-09,Restaurant,Fruits,102,58,44,7.0,7.1,58.0,No,Rainy,6,Overproduction,No,Medium
INV000192,2025-01-09,Cafeteria,Meat,165,42,123,3.0,1.7,42.0,No,Cloudy,52,Overproduction,Yes,High
INV000193,2025-01-09,Restaurant,Fruits,98,79,19,7.0,15.8,79.0,No,Hot,6,Storage Issue,No,Medium
INV000194,2025-01-09,Cafeteria,Fruits,76,47,29,4.0,13.6,47.0,No,Cloudy,8,Overproduction,No,High
INV000195,2025-01-09,Supermarket,Dairy,155,155,0,7.0,3.9,180.0,Yes,Sunny,0,No Waste,No,Low
INV000196,2025-01-09,Restaurant,Fruits,79,79,0,6.0,4.2,93.0,No,,0,No Waste,No,Low
INV000197,2025-01-09,Supermarket,Vegetables,145,145,0,3.0,4.3,153.0,No,Sunny,0,No Waste,No,Low
INV000198,2025-01-09,Supermarket,Fruits,243,138,105,5.0,4.5,138.0,Yes,Rainy,27,Overproduction,Yes,High
INV000199,2025-01-10,Supermarket,Dairy,227,147,80,5.0,5.9,147.0,No,Cloudy,20,Overproduction,Yes,High
INV000200,2025-01-10,Cloud Kitchen,Meat,87,87,0,3.0,5.4,114.0,No,Sunny,0,No Waste,No,Low
INV000201,2025-01-10,Cloud Kitchen,Prepared Food,111,86,25,1.0,24.4,86.0,No,Cloudy,11,Expired,No,High
INV000202,2025-01-10,Cloud Kitchen,Bakery,109,93,16,1.0,25.2,93.0,No,Sunny,7,Expired,No,Medium
INV000203,2025-01-10,Supermarket,Meat,165,165,0,5.0,-0.2,206.0,No,Hot,0,No Waste,No,Low
INV000204,2025-01-10,Cloud Kitchen,Dairy,128,90,38,7.0,3.7,90.0,No,Cloudy,7,Overproduction,No,Medium
INV000205,2025-01-10,Supermarket,Meat,144,88,56,3.0,3.7,88.0,No,Rainy,18,Overproduction,No,High
INV000206,2025-01-10,Supermarket,Fruits,209,186,23,5.0,7.7,,No,Sunny,4,Low Demand,No,Low
INV000207,2025-01-10,Cloud Kitchen,Bakery,131,107,24,2.0,18.6,107.0,No,Hot,6,Expired,No,Medium
INV000208,2025-01-10,Cafeteria,Meat,53,53,0,1.0,2.9,61.0,No,Hot,0,No Waste,No,Low
INV000209,2025-01-10,Supermarket,Bakery,184,174,10,2.0,24.5,174.0,No,Sunny,2,Expired,No,Low
INV000210,2025-01-10,Cloud Kitchen,Dairy,122,69,53,8.0,2.1,69.0,No,Cloudy,9,Overproduction,Yes,Medium
INV000211,2025-01-10,Restaurant,Bakery,113,71,42,4.0,21.1,71.0,No,Cloudy,9,Overproduction,,Medium
INV000212,2025-01-10,Cafeteria,Dairy,67,67,0,6.0,5.1,89.0,Yes,Sunny,0,No Waste,No,Low
INV000213,2025-01-10,Cafeteria,Prepared Food,65,50,15,2.0,16.3,50.0,No,Sunny,5,Low Demand,No,Medium
INV000214,2025-01-10,Cafeteria,Prepared Food,70,70,0,1.0,33.5,72.0,No,Hot,0,No Waste,No,Low
INV000215,2025-01-10,Restaurant,Bakery,74,74,0,2.0,25.4,78.0,No,Sunny,0,No Waste,No,Low
INV000216,2025-01-10,Supermarket,Prepared Food,147,147,0,2.0,17.6,175.0,No,Hot,0,No Waste,No,Low
INV000217,2025-01-10,Supermarket,Fruits,150,150,0,4.0,14.6,162.0,No,Hot,0,No Waste,No,Low
INV000218,2025-01-10,Cloud Kitchen,Fruits,116,116,0,5.0,2.0,140.0,Yes,Hot,0,No Waste,No,Low
INV000219,2025-01-10,Restaurant,Bakery,96,49,47,2.0,19.8,49.0,No,Rainy,18,Overproduction,No,High
INV000220,2025-01-10,Cloud Kitchen,Bakery,127,88,39,1.0,24.8,88.0,No,Cloudy,14,Expired,No,High
INV000221,2025-01-10,Supermarket,Bakery,137,137,0,3.0,19.0,,No,Cloudy,0,No Waste,No,Low
